,Participant,ExhibitID,validInteraction,MaxExplanation,ListenedTime,Condition,ListenedPercentage,NumExhibits
0,1,Cabinet,True,29.13,29.13,Full Control,100.0,9
1,1,Bench,True,52.3,50.57,Full Control,97.0,9
2,1,Billiard,True,23.17,21.17,Full Control,91.0,9
3,1,Pamona,True,69.07,69.07,Full Control,100.0,9
4,1,Billiard,True,23.17,23.17,Full Control,100.0,9
5,1,Candelabras,True,7.26,7.26,Full Control,100.0,9
6,1,Fireplace,True,42.87,42.87,Full Control,100.0,9
7,1,Tapestries,True,28.03,28.03,Full Control,100.0,9
8,1,Table,True,17.32,17.32,Full Control,100.0,9
9,2,Bench,False,52.3,30.0,Partial Control,57.0,8
10,2,Tapestries,False,28.03,20.0,Partial Control,71.0,8
11,2,Cabinet,True,29.13,12.86,Partial Control,44.0,8
12,2,Pamona,False,69.07,30.0,Partial Control,43.0,8
13,2,Candelabras,True,7.26,7.0,Partial Control,96.0,8
14,2,Fireplace,False,42.87,30.0,Partial Control,70.0,8
15,2,Piano,True,22.28,12.86,Partial Control,58.0,8
16,2,Heating,True,18.86,12.86,Partial Control,68.0,8
17,3,Bench,True,52.3,51.3,Full Control,98.0,10
18,3,Billiard,True,23.17,23.17,Full Control,100.0,10
19,3,Candelabras,True,7.26,7.26,Full Control,100.0,10
20,3,Pamona,True,69.07,69.07,Full Control,100.0,10
21,3,Cabinet,True,29.13,29.13,Full Control,100.0,10
22,3,Fireplace,True,42.87,42.87,Full Control,100.0,10
23,3,Table,True,17.32,17.32,Full Control,100.0,10
24,3,Piano,True,22.28,22.28,Full Control,100.0,10
25,3,Tapestries,True,28.03,28.03,Full Control,100.0,10
26,3,Heating,True,18.86,18.86,Full Control,100.0,10
27,4,Billiard,False,23.17,14.99,No Control,65.0,9
28,4,Bench,False,52.3,18.0,No Control,34.0,9
29,4,Piano,True,22.28,22.28,No Control,100.0,9
30,4,Tapestries,False,28.03,17.0,No Control,61.0,9
31,4,Table,True,17.32,16.0,No Control,92.0,9
32,4,Candelabras,True,7.26,7.26,No Control,100.0,9
33,4,Pamona,True,69.07,69.0,No Control,100.0,9
34,4,Billiard,False,23.17,14.0,No Control,60.0,9
35,4,Cabinet,True,29.13,29.13,No Control,100.0,9
36,5,Pamona,True,69.07,69.0,Partial Control,100.0,10
37,5,Bench,True,52.3,51.17,Partial Control,98.0,10
38,5,Candelabras,True,7.26,7.0,Partial Control,96.0,10
39,5,Billiard,True,23.17,23.17,Partial Control,100.0,10
40,5,Cabinet,False,29.13,15.0,Partial Control,51.0,10
41,5,Table,False,17.32,13.0,Partial Control,75.0,10
42,5,Fireplace,False,42.87,15.0,Partial Control,35.0,10
43,5,Heating,True,18.86,18.0,Partial Control,95.0,10
44,5,Piano,True,22.28,22.17,Partial Control,100.0,10
45,5,Tapestries,True,28.03,28.03,Partial Control,100.0,10
46,6,Pamona,False,69.07,39.0,No Control,56.0,7
47,6,Bench,True,52.3,51.17,No Control,98.0,7
48,6,Candelabras,True,7.26,7.0,No Control,96.0,7
49,6,Cabinet,True,29.13,29.0,No Control,100.0,7
50,6,Piano,True,22.28,22.0,No Control,99.0,7
51,6,Tapestries,True,28.03,28.0,No Control,100.0,7
52,6,Fireplace,True,42.87,42.0,No Control,98.0,7
53,7,Bench,True,52.3,52.0,No Control,99.0,7
54,7,Pamona,True,69.07,69.0,No Control,100.0,7
55,7,Candelabras,True,7.26,7.0,No Control,96.0,7
56,7,Billiard,True,23.17,22.0,No Control,95.0,7
57,7,Fireplace,True,42.87,42.0,No Control,98.0,7
58,7,Piano,True,22.28,22.0,No Control,99.0,7
59,7,Tapestries,True,28.03,28.0,No Control,100.0,7
60,8,Candelabras,True,7.26,7.26,Partial Control,100.0,10
61,8,Bench,True,52.3,52.3,Partial Control,100.0,10
62,8,Pamona,True,69.07,69.0,Partial Control,100.0,10
63,8,Billiard,True,23.17,22.0,Partial Control,95.0,10
64,8,Cabinet,True,29.13,29.0,Partial Control,100.0,10
65,8,Table,True,17.32,17.32,Partial Control,100.0,10
66,8,Piano,True,22.28,22.28,Partial Control,100.0,10
67,8,Tapestries,True,28.03,28.03,Partial Control,100.0,10
68,8,Fireplace,True,42.87,42.87,Partial Control,100.0,10
69,8,Heating,True,18.86,18.86,Partial Control,100.0,10
70,9,Candelabras,True,7.26,7.26,Full Control,100.0,5
71,9,Bench,True,52.3,52.0,Full Control,99.0,5
72,9,Table,True,17.32,17.32,Full Control,100.0,5
73,9,Fireplace,True,42.87,42.0,Full Control,98.0,5
74,9,Tapestries,True,28.03,28.03,Full Control,100.0,5
